id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
B,164,0,12,0,0.0,0.0,62.476190476148304,-2027658.118119974
C,164,0,12,-6,0.0,0.0,-124.95238095229661,-2027783.070500926
D,164,1,10,-2,0.0,0.0,-187.4285714284449,-2027970.4990723545
E,164,6,7,-1,0.0,0.0,-218.66666666651906,-2028189.165739021
F,164,1,10,0,0.0,4.125,-218.66666666651906,-2028407.8324056875
G,164,1,10,0,0.0,0.0,-218.66666666651906,-2028626.499072354
H,164,4,12,-1,0.0,0.0,-249.90476190459322,-2028876.4038342587
I,164,4,12,-2,0.0,0.0,-312.3809523807415,-2029188.7847866395
J,164,8,30,0,0.0,0.0,-312.3809523807415,-2029501.1657390203
A,168.26388888888926,0,12,0,0.0,0.0,0.0,-2029501.1657390203
B,168.26388888888926,0,12,0,0.0,0.0,0.0,-2029501.1657390203
C,168.26388888888926,0,12,-6,0.0,0.0,-27258.75000000006,-2056759.9157390203
D,168.26388888888926,1,10,-1,0.0,0.0,-31801.875000000073,-2088561.7907390203
E,168.26388888888926,6,7,-1,0.0,0.0,-36345.00000000008,-2124906.7907390203
F,168.26388888888926,1,10,0,0.0,4.125,-36345.00000000008,-2161251.7907390203
G,168.26388888888926,1,10,0,0.0,0.0,-36345.00000000008,-2197596.7907390203
H,168.26388888888926,4,12,0,0.0,0.0,-36345.00000000008,-2233941.7907390203
I,168.26388888888926,4,12,-1,0.0,0.0,-40888.12500000009,-2274829.9157390203
J,168.26388888888926,8,30,0,0.0,0.0,-40888.12500000009,-2315718.0407390203
A,171.7521645021647,0,12,0,0.0,0.0,0.0,-2315718.0407390203
B,171.7521645021647,0,12,1,0.0,0.0,3904.976295694987,-2311813.064443325
C,171.7521645021647,0,12,-6,0.0,0.0,-19524.881478474937,-2331337.9459218
D,171.7521645021647,1,10,-1,0.0,0.0,-23429.857774169923,-2354767.80369597
E,171.7521645021647,6,7,-1,0.0,0.0,-27334.83406986491,-2382102.637765835
F,171.7521645021647,1,10,0,0.0,4.125,-27334.83406986491,-2409437.4718357
G,171.7521645021647,1,10,0,0.0,0.0,-27334.83406986491,-2436772.3059055647
H,171.7521645021647,4,12,0,0.0,0.0,-27334.83406986491,-2464107.1399754295
I,171.7521645021647,4,12,-1,0.0,0.0,-31239.810365559897,-2495346.9503409895
J,171.7521645021647,8,30,0,0.0,0.0,-31239.810365559897,-2526586.7607065495
A,174.64502164502176,0,12,0,0.0,0.0,0.0,-2526586.7607065495
B,174.64502164502176,0,12,-1,0.0,0.0,-3361.5386471392635,-2529948.299353689
C,174.64502164502176,0,12,-6,0.0,0.0,-23530.77052997485,-2553479.0698836637
D,174.64502164502176,1,10,-1,0.0,0.0,-26892.309177114108,-2580371.379060778
E,174.64502164502176,6,7,0,0.0,0.0,-26892.309177114108,-2607263.688237892
F,174.64502164502176,1,10,0,0.0,4.125,-26892.309177114108,-2634155.997415006
G,174.64502164502176,1,10,0,0.0,0.0,-26892.309177114108,-2661048.3065921203
H,174.64502164502176,4,12,0,0.0,0.0,-26892.309177114108,-2687940.6157692345
I,174.64502164502176,4,12,-1,0.0,0.0,-30253.84782425337,-2718194.4635934876
J,174.64502164502176,8,30,0,0.0,0.0,-30253.84782425337,-2748448.311417741
A,179.7972222222227,0,12,0,0.0,0.0,0.0,-2748448.311417741
B,179.7972222222227,0,12,-1,0.0,0.0,-2940.5796777296655,-2751388.8910954706
C,179.7972222222227,0,12,-6,0.0,0.0,-20584.05774410766,-2771972.9488395783
D,179.7972222222227,1,10,-1,0.0,0.0,-23524.637421837324,-2795497.586261416
E,179.7972222222227,6,7,0,0.0,0.0,-23524.637421837324,-2819022.2236832534
F,179.7972222222227,1,10,0,0.0,4.125,-23524.637421837324,-2842546.861105091
G,179.7972222222227,1,10,0,0.0,0.0,-23524.637421837324,-2866071.4985269285
H,179.7972222222227,4,12,2,0.0,0.0,-17643.478066377993,-2883714.9765933063
I,179.7972222222227,4,12,-1,0.0,0.0,-20584.05774410766,-2904299.034337414
J,179.7972222222227,8,30,0,0.0,0.0,-20584.05774410766,-2924883.0920815216
A,184.86607142857144,0,12,0,0.0,0.0,0.0,-2924883.0920815216
B,184.86607142857144,0,12,-1,0.0,0.0,-2071.0135168649913,-2926954.105598387
C,184.86607142857144,0,12,-6,0.0,0.0,-14497.094618054936,-2941451.200216442
D,184.86607142857144,1,10,0,0.0,0.0,-14497.094618054936,-2955948.294834497
E,184.86607142857144,6,7,0,0.0,0.0,-14497.094618054936,-2970445.389452552
F,184.86607142857144,1,10,-1,0.0,4.125,-16568.10813491993,-2987013.4975874717
G,184.86607142857144,1,10,0,0.0,0.0,-16568.10813491993,-3003581.6057223915
H,184.86607142857144,4,12,0,0.0,0.0,-16568.10813491993,-3020149.7138573113
I,184.86607142857144,4,12,0,0.0,0.0,-16568.10813491993,-3036717.821992231
J,184.86607142857144,8,30,0,0.0,0.0,-16568.10813491993,-3053285.930127151
