9|0|0|9|1|14|3
9|0|0|9|0|25|3
9|0|0|9|0|27|3
9|0|0|9|0|33|3
9|0|0|9|0|39|3
9|0|0|9|0|50|3
9|0|0|9|0|52|3
9|0|0|9|0|56|3
8|1|0|9|0|72|3
9|1|0|9|1|75|3
9|1|0|9|0|76|3
9|1|0|9|0|77|3
9|1|0|9|0|81|3
10|0|0|9|0|97|3
10|0|0|9|0|99|3
10|0|0|9|0|100|3
10|0|0|9|0|101|3
10|0|0|9|0|102|3
10|0|0|10|0|104|1
10|0|0|10|0|111|1
10|1|0|10|1|113|1
10|1|0|10|0|116|1
10|1|0|10|0|125|1
10|1|0|10|0|126|1
10|1|0|10|0|128|1
10|1|0|10|0|129|1
10|1|0|10|0|135|1
10|1|0|10|0|136|1
11|0|0|10|0|138|1
11|0|0|10|0|141|1
10|1|0|10|0|149|1
10|1|0|10|0|150|1
10|1|0|10|0|156|1
9|2|0|10|0|163|1
9|2|0|12|0|164|0
10|1|0|12|0|174|0
10|1|0|12|0|177|0
10|1|0|12|0|181|0
11|0|0|12|0|188|0
12|0|0|12|1|191|0
12|0|0|12|0|202|0
12|0|0|12|0|221|0
12|1|0|12|1|228|0
12|2|0|12|1|233|0
12|2|0|12|0|242|0
12|2|0|12|0|243|0
12|2|0|12|0|246|0
12|2|0|12|0|246|0
13|1|0|12|0|253|0
14|0|0|12|0|258|0
14|0|0|12|0|263|0
14|0|0|12|0|267|0
14|0|0|12|0|268|0
13|1|0|12|0|270|0
13|1|0|12|0|283|0
13|1|0|12|0|292|0
14|0|0|12|0|295|0
13|1|0|12|0|309|0
13|1|0|12|0|317|0
13|1|0|12|0|325|0
13|1|0|10|0|326|1
14|0|0|10|0|334|1
14|0|0|10|0|335|1
14|0|0|10|0|350|1
14|0|0|10|0|360|1
14|0|0|10|0|365|1
14|0|0|10|0|372|1
14|0|0|10|0|373|1
14|0|0|10|0|377|1
14|0|0|10|0|382|1
14|0|0|10|0|390|1
12|0|0|7|-2|391|6
12|0|0|7|0|397|6
12|0|0|7|0|398|6
12|0|0|7|0|402|6
12|0|0|7|0|413|6
12|0|0|7|0|428|6
12|0|0|7|0|438|6
10|0|0|7|-2|444|6
9|0|0|7|-1|445|6
7|0|0|7|-2|450|6
7|0|0|7|0|469|6
5|0|0|7|-2|473|6
5|0|0|7|0|475|6
4|0|0|7|-1|477|6
4|0|0|7|0|485|6
4|0|0|7|0|490|6
4|0|0|7|0|492|6
4|0|0|7|0|498|6
3|0|0|7|-1|506|6
3|0|0|7|0|510|6
3|0|0|7|0|515|6
3|0|0|7|0|517|6
3|0|0|7|0|518|6
3|0|0|7|0|531|6
3|0|0|7|0|532|6
3|0|0|7|0|540|6
3|0|0|7|0|542|6
3|0|0|7|0|543|6
3|0|0|7|0|554|6
3|0|0|7|0|558|6
4|0|0|7|1|559|6
4|0|0|7|0|566|6
4|0|0|7|0|567|6
4|0|0|7|0|579|6
4|0|0|7|0|584|6
4|0|0|7|0|591|6
4|0|0|7|0|602|6
4|0|0|7|0|603|6
4|0|0|7|0|616|6
4|0|0|7|0|628|6
5|0|0|7|1|638|6
5|0|0|7|0|649|6
5|0|0|7|0|651|6
5|0|0|7|0|655|6
5|0|0|7|0|663|6
5|0|0|7|0|673|6
5|0|0|7|0|680|6
5|0|0|7|0|701|6
5|0|0|7|0|771|6
5|0|0|7|0|777|6
5|0|0|7|0|784|6
