AssetID,AssignedUnit,RecievedDate
11,H,2022-10-05
90,J,2023-03-30
9,D,2023-03-30
47,B,2023-04-01
74,D,2023-04-01
20,E,2023-04-11
94,A,2023-04-11
17,C,2023-05-11
24,A,2023-05-11
60,B,2023-06-05
23,I,2023-06-05
39,C,2023-06-06
20,B,2023-06-06
41,B,2023-06-19
67,J,2023-08-14
13,H,2023-08-14
8,E,2023-08-15
16,F,2023-08-15
91,A,2023-08-15
16,C,2023-08-16
37,J,2023-08-16
47,F,2023-08-16
47,E,2023-08-30
82,B,2023-08-30
59,J,2023-10-04
12,B,2023-10-04
25,E,2023-12-25
90,G,2023-12-25
43,B,2023-12-25
54,F,2024-02-27
10,C,2024-02-27
15,J,2024-02-27
63,E,2024-04-04
68,I,2024-04-04
15,C,2024-04-29
88,E,2024-04-29
68,J,2024-04-29
68,G,2024-05-20
84,I,2024-05-20
64,A,2024-06-14
51,C,2024-06-14
84,J,2024-06-14
84,B,2024-06-16
83,A,2024-06-16
97,J,2024-06-16
97,F,2024-06-27
40,B,2024-06-27
87,G,2024-08-15
80,B,2024-08-15
72,C,2024-08-25
69,B,2024-08-25
64,F,2024-11-08
55,I,2024-11-08
83,J,2024-11-10
94,C,2024-11-10
83,C,2024-11-13
2,J,2024-12-09
24,E,2024-12-09
86,F,2024-12-20
4,G,2024-12-20
9,A,2024-12-20
84,J,2025-01-16
60,E,2025-01-16
40,A,2025-03-08
9,H,2025-03-08
80,J,2025-03-11
69,E,2025-03-11
20,F,2025-04-05
29,E,2025-04-05
41,A,2025-05-11
40,J,2025-05-11
91,I,2025-05-11
84,B,2025-09-04
12,D,2025-09-04
84,A,2025-10-17
22,B,2025-10-17
82,E,2025-10-17
22,F,2025-12-03
68,B,2025-12-03
43,E,2025-12-03
90,F,2026-01-24
22,I,2026-01-29
64,E,2026-01-29
86,J,2026-02-01
87,F,2026-02-01
97,D,2026-02-01
86,B,2026-02-04
9,J,2026-02-04
40,G,2026-02-04
9,G,2026-02-14
40,D,2026-02-14
90,I,2026-02-14
21,A,2026-02-26
9,J,2026-02-26
87,G,2026-02-26
62,B,2026-03-07
14,J,2026-03-07
26,F,2026-03-09
3,G,2026-03-09
49,A,2026-03-11
19,B,2026-03-11
31,J,2026-03-12
78,D,2026-03-12
13,F,2026-03-14
5,E,2026-03-14
11,G,2026-03-25
3,E,2026-03-25
9,A,2026-03-27
87,F,2026-03-27
26,E,2026-03-27
14,B,2026-04-19
80,F,2026-04-19
87,C,2026-04-19
80,G,2026-05-11
92,F,2026-05-11
54,E,2026-05-11
80,J,2026-06-27
11,F,2026-06-27
92,C,2026-06-27
40,B,2026-07-27
57,C,2026-07-27
97,J,2026-08-05
22,G,2026-08-20
56,F,2026-08-20
75,J,2026-08-22
95,B,2026-08-22
73,G,2026-09-13
1,C,2026-09-13
50,F,2026-10-12
53,A,2026-10-12
90,J,2026-10-23
98,B,2026-10-23
65,F,2026-11-17
23,A,2026-11-17
55,J,2027-01-04
48,F,2027-01-04
74,B,2027-04-20
6,F,2027-04-20
10,B,2027-05-27
83,F,2027-05-27
15,D,2027-06-06
72,F,2027-06-06
63,D,2027-06-08
63,G,2027-07-18
15,B,2027-07-18
57,A,2027-09-01
51,F,2027-09-01
88,J,2027-10-16
26,C,2027-10-16
1,A,2027-10-16
88,D,2027-11-11
75,G,2027-11-11
80,D,2027-11-13
2,F,2027-11-13
97,C,2027-12-04
32,D,2027-12-04
90,G,2027-12-22
30,D,2027-12-22
55,C,2027-12-30
61,G,2027-12-30
33,C,2028-01-16
77,D,2028-01-16
31,F,2028-02-07
67,D,2028-02-07
15,F,2028-02-20
10,A,2028-02-20
95,F,2028-03-23
40,G,2028-03-24
86,F,2028-03-24
62,G,2028-04-01
68,E,2028-04-01
14,D,2028-04-14
26,G,2028-04-29
92,B,2028-04-29
74,E,2028-04-29
92,G,2028-05-07
97,B,2028-05-07
98,D,2028-05-07
55,B,2028-06-21
97,D,2028-06-21
55,F,2028-07-07
10,G,2028-07-09
9,F,2028-07-09
