99|1|0|119|14
98|2|0|119|24
97|3|0|119|27
97|3|0|120|33
96|4|0|120|51
95|5|0|120|56
94|6|0|120|57
95|5|0|120|59
94|6|0|120|67
93|7|0|120|68
92|8|0|120|75
91|9|0|120|83
90|10|0|120|90
91|9|0|120|91
92|8|0|120|98
92|8|0|121|99
92|8|0|122|104
93|7|0|122|107
92|8|0|122|111
93|7|0|122|115
94|6|0|122|117
93|7|0|122|119
94|6|0|122|122
93|7|0|122|125
93|7|0|122|128
93|7|0|124|129
93|7|0|125|135
92|8|0|125|145
91|9|0|125|150
90|10|0|125|154
91|9|0|125|155
91|9|0|127|164
92|8|0|127|165
91|9|0|127|189
91|9|0|124|191
92|8|0|124|201
91|9|0|124|207
92|8|0|124|207
91|9|0|124|214
90|10|0|124|216
89|11|0|124|221
88|12|0|124|223
89|11|0|124|228
88|12|0|124|237
88|12|0|124|246
89|11|0|124|251
88|12|0|124|255
88|12|0|126|263
90|10|0|126|275
91|9|0|126|285
89|10|1|126|289
88|11|1|126|292
89|10|1|126|299
88|11|1|126|301
89|10|1|126|304
89|10|1|124|326
90|9|1|124|328
89|10|1|124|329
90|9|1|124|330
91|8|1|124|334
90|9|1|124|344
91|8|1|124|373
90|9|1|124|374
91|8|1|124|379
90|9|1|124|381
91|8|1|122|382
92|7|1|119|391
91|8|1|119|393
90|9|1|119|394
91|8|1|119|426
91|8|1|116|428
92|7|1|116|434
93|6|1|116|442
93|6|1|117|445
92|7|1|117|454
93|6|1|117|469
93|6|1|118|477
93|6|1|118|492
93|6|1|115|532
93|6|1|115|544
93|6|1|113|554
93|6|1|111|558
92|7|1|111|563
92|7|1|111|566
92|7|1|112|567
93|6|1|112|577
93|6|1|113|579
95|4|1|113|588
95|4|1|114|602
96|3|1|114|603
97|2|1|114|607
96|3|1|114|626
96|3|1|111|649
96|3|1|108|651
96|3|1|110|673
96|3|1|111|701
95|4|1|111|710
96|3|1|111|728
97|2|1|111|761
97|2|1|112|771
97|2|1|112|777
97|2|1|112|784
97|2|1|113|797
96|3|1|113|799
97|2|1|113|800
97|2|1|114|882
97|2|1|115|888
98|1|1|115|889
98|1|1|117|890
99|0|1|117|919
99|0|1|118|920
99|0|1|119|928
99|0|1|117|937
99|0|1|118|955
98|1|1|118|976
97|1|2|118|989
96|2|2|118|996
96|2|2|119|1007
95|3|2|119|1017
95|3|2|121|1031
95|3|2|122|1037
94|4|2|122|1038
94|4|2|119|1043
95|3|2|119|1052
96|2|2|119|1066
95|2|3|119|1072
94|3|3|119|1088
94|3|3|120|1105
94|3|3|122|1108
95|2|3|122|1114
95|2|3|123|1132
94|2|4|123|1134
93|3|4|123|1137
93|3|4|124|1143
94|2|4|124|1151
94|2|4|126|1152
94|2|4|127|1160
93|2|5|127|1166
92|3|5|125|1168
93|2|5|125|1210
94|1|5|125|1227
94|1|5|126|1238
94|1|5|123|1243
95|0|5|123|1258
94|1|5|123|1260
94|1|5|124|1264
94|1|5|122|1267
93|1|6|122|1268
92|2|6|122|1280
92|2|6|122|1290
91|3|6|122|1310
90|3|7|122|1317
90|3|7|119|1322
89|4|7|119|1357
88|5|7|119|1373
88|5|7|117|1392
89|4|7|117|1400
88|4|8|117|1408
87|5|8|117|1412
86|5|9|117|1434
86|5|9|119|1441
86|5|9|121|1443
86|5|9|119|1445
85|6|9|119|1457
84|7|9|119|1471
84|7|9|116|1472
83|8|9|116|1489
82|8|10|116|1500
81|9|10|116|1500
81|9|10|116|1510
80|10|10|116|1517
81|9|10|116|1520
80|10|10|116|1528
79|11|10|116|1534
78|12|10|116|1535
77|13|10|116|1540
77|13|10|116|1541
77|13|10|117|1559
77|13|10|114|1563
76|14|10|114|1572
77|13|10|114|1574
77|13|10|114|1582
77|13|10|115|1583
78|12|10|115|1587
79|11|10|115|1592
80|10|10|115|1604
79|11|10|115|1607
78|12|10|115|1608
79|11|10|115|1614
80|10|10|115|1619
80|10|10|116|1623
81|9|10|116|1624
80|9|11|116|1647
80|9|11|117|1648
78|11|11|117|1649
77|12|11|117|1650
76|12|12|117|1656
76|12|12|118|1669
75|12|13|118|1670
76|11|13|118|1676
75|12|13|118|1680
74|12|14|118|1683
77|9|14|116|1685
79|7|14|116|1687
78|8|14|116|1689
77|9|14|116|1698
76|10|14|116|1709
75|10|15|116|1711
73|12|15|116|1714
74|11|15|116|1720
75|10|15|116|1723
73|10|17|116|1724
74|9|17|116|1725
75|8|17|116|1732
76|7|17|116|1734
76|7|17|117|1736
75|7|18|115|1738
74|8|18|115|1738
73|9|18|115|1739
72|9|19|115|1742
71|10|19|115|1744
70|10|20|115|1746
69|10|21|115|1749
68|10|22|112|1750
67|11|22|112|1761
67|11|22|114|1762
65|12|23|114|1771
65|11|24|114|1772
66|10|24|114|1773
67|9|24|114|1776
67|9|24|111|1777
68|8|24|111|1788
69|7|24|111|1804
70|6|24|111|1809
69|6|25|111|1814
70|5|25|111|1816
69|5|26|111|1818
68|6|26|111|1819
67|6|27|111|1839
68|5|27|111|1842
69|4|27|111|1851
68|4|28|111|1858
67|5|28|111|1870
66|6|28|111|1873
65|6|29|111|1876
64|7|29|111|1877
63|8|29|111|1880
62|9|29|111|1884
62|9|29|112|1885
61|10|29|112|1887
60|10|30|112|1895
60|10|30|114|1900
59|11|30|114|1904
60|10|30|115|1915
60|10|30|116|1926
61|9|30|114|1932
60|10|30|114|1951
60|10|30|115|1956
59|11|30|115|1960
58|12|30|115|1962
58|12|30|112|1965
57|12|31|112|1965
56|12|32|112|1974
55|13|32|112|1980
54|13|33|112|1984
53|14|33|112|1986
52|15|33|112|1990
51|16|33|112|2000
52|15|33|112|2010
