id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
I,99.83333333333334,4,12,9,0.6250000000000071,58.375000000000014,17470.833333333336,2089287.1486249994
J,99.83333333333334,8,30,18,0.5000000000000057,48.90000000000001,26455.833333333336,2115742.981958333
A,104,1,10,7,2.777777777777772,52.2675925925926,3033.3333333333267,2118776.3152916664
B,104,1,10,2,0.8333333333333313,25.3915,3899.999999999991,2122676.3152916664
C,104,0,12,0,0.0,19.249999999999996,3899.999999999991,2126576.3152916664
D,104,1,10,2,0.8333333333333313,23.216666666666665,4766.666666666656,2131342.981958333
E,104,6,7,7,4.166666666666657,80.42857142857143,7799.999999999982,2139142.981958333
F,104,3,9,7,3.2407407407407334,63.86574074074074,10833.333333333308,2149976.3152916664
G,104,1,10,2,0.8333333333333313,59.66666666666667,11699.999999999973,2161676.3152916664
H,104,0,12,0,0.0,8.25,11699.999999999973,2173376.3152916664
I,104,4,12,9,3.124999999999993,61.50000000000001,15599.999999999964,2188976.3152916664
J,104,8,30,18,2.4999999999999942,51.400000000000006,23399.999999999945,2212376.3152916664
A,111.08499999999998,1,10,2,1.4169999999999956,53.684592592592594,5332.079999999999,2217708.3952916665
B,111.08499999999998,1,10,2,1.4169999999999956,26.808499999999995,10664.159999999998,2228372.5552916666
C,111.08499999999998,0,12,0,0.0,19.249999999999996,10664.159999999998,2239036.715291667
D,111.08499999999998,1,10,2,1.4169999999999956,24.63366666666666,15996.239999999998,2255032.955291667
E,111.08499999999998,6,7,7,7.0849999999999795,87.51357142857141,34658.52,2289691.475291667
F,111.08499999999998,3,9,8,6.2977777777777595,70.1635185185185,55986.83999999998,2345678.315291667
G,111.08499999999998,1,10,1,1.4169999999999956,61.083666666666666,58652.87999999999,2404331.195291667
H,111.08499999999998,0,12,0,0.0,8.25,58652.87999999999,2462984.0752916667
I,111.08499999999998,4,12,10,5.90416666666665,67.40416666666665,85313.27999999998,2548297.3552916665
J,111.08499999999998,8,30,21,4.959499999999985,56.35949999999999,141300.12,2689597.4752916666
A,115.82833333333332,1,10,2,0.9486666666666677,54.63325925925926,3918.472516666671,2693515.947808333
B,115.82833333333332,1,10,3,0.9486666666666677,27.757166666666663,9796.181291666679,2703312.1291
C,115.82833333333332,0,12,0,0.0,19.249999999999996,9796.181291666679,2713108.310391667
D,115.82833333333332,1,10,2,0.9486666666666677,25.582333333333327,13714.653808333347,2726822.9642000003
E,115.82833333333332,6,7,7,4.743333333333339,92.25690476190475,27429.307616666694,2754252.271816667
F,115.82833333333332,3,9,7,3.689259259259264,73.85277777777776,41143.961425000045,2795396.233241667
G,115.82833333333332,1,10,2,0.9486666666666677,62.032333333333334,45062.43394166671,2840458.6671833335
H,115.82833333333332,0,12,0,0.0,8.25,45062.43394166671,2885521.101125
I,115.82833333333332,4,12,10,3.952777777777783,71.35694444444444,64654.79652500007,2950175.89765
J,115.82833333333332,8,30,21,3.3203333333333376,59.67983333333333,105798.75795000012,3055974.6556
A,122.25833333333334,1,10,2,1.286000000000004,55.91925925925926,2976.175361111115,3058950.8309611115
B,122.25833333333334,1,10,1,1.286000000000004,29.043166666666668,4464.2630416666725,3063415.094002778
C,122.25833333333334,0,12,0,0.0,19.249999999999996,4464.2630416666725,3067879.357044445
D,122.25833333333334,1,10,2,1.286000000000004,26.868333333333332,7440.438402777788,3075319.795447223
E,122.25833333333334,6,7,7,6.430000000000021,98.68690476190477,17857.05216666669,3093176.8476138897
F,122.25833333333334,3,9,8,5.715555555555574,79.56833333333333,29761.75361111115,3122938.601225001
G,122.25833333333334,1,10,2,1.286000000000004,63.318333333333335,32737.92897222226,3155676.530197223
H,122.25833333333334,0,12,0,0.0,8.25,32737.92897222226,3188414.4591694456
I,122.25833333333334,4,12,10,5.358333333333351,76.71527777777779,47618.80577777784,3236033.2649472235
J,122.25833333333334,8,30,21,4.5010000000000145,64.18083333333334,78868.64706944453,3314901.912016668
A,124.9587037037037,1,10,2,0.5400740740740729,56.45933333333333,1434.9424475308626,3316336.854464199
B,124.9587037037037,1,10,2,0.5400740740740729,29.58324074074074,2869.8848950617253,3319206.7393592605
C,124.9587037037037,0,12,0,0.0,19.249999999999996,2869.8848950617253,3322076.624254322
D,124.9587037037037,1,10,2,0.5400740740740729,27.408407407407406,4304.827342592588,3326381.451596915
E,124.9587037037037,6,7,7,2.700370370370365,101.38727513227514,9327.125908950606,3335708.5775058656
F,124.9587037037037,3,9,8,2.100288065843617,81.66862139917694,15066.895699074057,3350775.4732049396
G,124.9587037037037,1,10,2,0.5400740740740729,63.858407407407405,16501.838146604918,3367277.3113515447
H,124.9587037037037,0,12,0,0.0,8.25,16501.838146604918,3383779.1494981498
I,124.9587037037037,4,12,10,2.2503086419753044,78.9655864197531,23676.550384259233,3407455.699882409
J,124.9587037037037,8,30,21,1.8902592592592553,66.07109259259259,38743.44608333329,3446199.1459657424
A,127.97814814814814,1,10,2,0.6038888888888861,57.06322222222222,778.438935939643,3446977.584901682
B,127.97814814814814,1,10,2,0.6038888888888861,30.187129629629627,1556.877871879286,3448534.4627735615
C,127.97814814814814,0,12,0,0.0,19.249999999999996,1556.877871879286,3450091.340645441
D,127.97814814814814,1,10,3,0.6038888888888861,28.01229629629629,2724.53627578875,3452815.8769212295
E,127.97814814814814,6,7,7,3.0194444444444315,104.40671957671957,5449.0725515775,3458264.949472807
F,127.97814814814814,3,9,8,2.683950617283939,84.35257201646088,8562.828295336072,3466827.777768143
G,127.97814814814814,1,10,2,0.6038888888888861,64.46229629629629,9341.267231275715,3476169.044999419
H,127.97814814814814,0,12,0,0.0,8.25,9341.267231275715,3485510.3122306946
I,127.97814814814814,4,12,10,2.516203703703693,81.48179012345679,13233.46191097393,3498743.7741416683
J,127.97814814814814,8,30,21,2.113611111111102,68.18470370370369,21407.070738340182,3520150.8448800086
A,128,1,10,2,0.00437037037037271,57.0675925925926,5.594074074077071,3520156.438954083
B,128,1,10,2,0.00437037037037271,30.1915,11.188148148154141,3520167.627102231
C,128,0,12,0,0.0,19.249999999999996,11.188148148154141,3520178.8152503795
D,128,1,10,2,0.00437037037037271,28.016666666666666,16.782222222231212,3520195.5974726016
E,128,6,7,7,0.021851851851863557,104.42857142857143,36.36148148150096,3520231.9589540833
F,128,3,9,8,0.019423868312767604,84.37199588477365,58.73777777780924,3520290.696731861
G,128,1,10,2,0.00437037037037271,64.46666666666665,64.33185185188631,3520355.028583713
H,128,4,12,0,0.0,8.25,64.33185185188631,3520419.3604355645
I,128,4,12,11,0.020030864197541593,81.50182098765433,95.0992592593102,3520514.4596948237
J,128,8,30,21,0.015296296296304489,68.19999999999999,153.83703703711944,3520668.296731861
A,129,1,10,2,0.19999999999999996,57.2675925925926,258,3520926.296731861
B,129,0,12,4,0.19999999999999996,30.3915,774,3521700.296731861
