['3', 'MA', 'F', 222.9478571428574, 0]
('64', 'F', 'J', 222.9478571428574, 0.125)
('16', 'I', 'H', 222.9478571428574, 0.19999999999999996)
['48', 'A', 'MA', 229.09528033777457, 0]
('16', 'H', 'I', 229.09528033777457, 0.19999999999999996)
('64', 'J', 'H', 229.09528033777457, 0.19999999999999996)
['12', 'G', 'MA', 230.1803571428573, 0]
('90', 'J', 'G', 230.1803571428573, 3.0)
('16', 'I', 'J', 230.1803571428573, 0.13636363636363635)
('64', 'H', 'I', 230.1803571428573, 0.19999999999999996)
['37', 'MA', 'C', 230.91666666666654, 0]
('64', 'I', 'J', 230.91666666666654, 0.09999999999999998)
['7', 'MA', 'D', 231.3563321136534, 0]
('7', 'D', 'I', 231.3563321136534, 0.30000000000000004)
('64', 'J', 'H', 231.3563321136534, 0.19999999999999996)
['49', 'MA', 'A', 231.57086167800458, 0]
('64', 'H', 'J', 231.57086167800458, 0.09999999999999998)
('7', 'I', 'H', 231.57086167800458, 0.19999999999999996)
['44', 'MA', 'C', 235.82142857142853, 0]
('64', 'J', 'I', 235.82142857142853, 0.19999999999999996)
('7', 'H', 'J', 235.82142857142853, 0.09999999999999998)
['13', 'MA', 'H', 242.01093474426872, 0]
['26', 'MA', 'F', 243.64053571428582, 0]
('63', 'F', 'D', 243.64053571428582, 0.16666666666666666)
['39', 'MA', 'F', 243.68392857142865, 0]
('56', 'F', 'E', 243.68392857142865, 0.16666666666666666)
['34', 'G', 'MA', 245.51571428571432, 0]
('7', 'J', 'G', 245.51571428571432, 3.5)
('56', 'E', 'J', 245.51571428571432, 0.15000000000000002)
('63', 'D', 'E', 245.51571428571432, 0.1428571428571429)
('56', 'J', 'G', 246, 8)
('16', 'J', 'G', 246, 8)
('17', 'J', 'G', 246, 8)
('63', 'E', 'J', 246, 0.25)
('64', 'I', 'J', 246, 0.13636363636363635)
('13', 'H', 'I', 246, 0.19999999999999996)
('75', 'C', 'J', 246, 0.525)
('5', 'C', 'H', 246, 0.85)
('36', 'C', 'D', 246, 0.45238095238095233)
('52', 'C', 'E', 246, 0.30952380952380953)
('85', 'C', 'J', 246, 0.125)
['16', 'G', 'MA', 251.17529454559974, 0]
('85', 'J', 'G', 251.17529454559974, 8)
['23', 'B', 'MA', 253.87773998488277, 0]
['48', 'MA', 'A', 254.09528033777457, 0]
['12', 'MA', 'G', 255.1803571428573, 0]
('63', 'J', 'F', 263, 8)
('75', 'J', 'F', 263, 8)
('64', 'J', 'F', 263, 8)
('36', 'D', 'J', 263, 0.25)
('52', 'E', 'J', 263, 0.20454545454545459)
('5', 'H', 'J', 263, 0.09999999999999998)
('13', 'I', 'H', 263, 0.19999999999999996)
['34', 'MA', 'G', 270.51571428571435, 0]
('36', 'J', 'I', 270.51571428571435, 0.19999999999999996)
('13', 'H', 'J', 270.51571428571435, 0.09999999999999998)
['16', 'MA', 'G', 276.17529454559974, 0]
('36', 'I', 'H', 276.17529454559974, 0.19999999999999996)
('13', 'J', 'I', 276.17529454559974, 0.19999999999999996)
['23', 'MA', 'B', 278.87773998488274, 0]
('36', 'H', 'J', 278.87773998488274, 0.09999999999999998)
('13', 'I', 'H', 278.87773998488274, 0.19999999999999996)
['81', 'A', 'MA', 281.0400596250429, 0]
('36', 'J', 'I', 281.0400596250429, 0.19999999999999996)
('13', 'H', 'J', 281.0400596250429, 0.09999999999999998)
['24', 'A', 'MA', 286.9994331065759, 0]
('36', 'I', 'H', 286.9994331065759, 0.19999999999999996)
('13', 'J', 'I', 286.9994331065759, 0.19999999999999996)
['6', 'C', 'MA', 288.3562499999999, 0]
('52', 'J', 'C', 288.3562499999999, 3.0)
('36', 'H', 'J', 288.3562499999999, 0.13636363636363635)
('13', 'I', 'J', 288.3562499999999, 0.09999999999999998)
['1', 'B', 'MA', 299.59183673469414, 0]
('36', 'J', 'I', 299.59183673469414, 0.19999999999999996)
['27', 'A', 'MA', 305.14229024943324, 0]
('13', 'J', 'A', 305.14229024943324, 8)
('36', 'I', 'J', 305.14229024943324, 0.13636363636363635)
['81', 'MA', 'A', 306.0400596250429, 0]
['40', 'G', 'MA', 307.1303854875281, 0]
['35', 'A', 'MA', 308.5512265512266, 0]
['4', 'B', 'MA', 311.91345427059736, 0]
['24', 'MA', 'A', 311.9994331065759, 0]
['6', 'MA', 'C', 313.3562499999999, 0]
('52', 'C', 'I', 313.3562499999999, 0.25)
['1', 'MA', 'B', 324.59183673469414, 0]
('52', 'I', 'J', 324.59183673469414, 0.09999999999999998)
('13', 'A', 'I', 326, 0.85)
('48', 'A', 'H', 326, 0.65)
('28', 'A', 'D', 326, 0.30952380952380953)
('61', 'A', 'E', 326, 0.16666666666666666)
['17', 'G', 'MA', 326.74985671018794, 0]
['22', 'F', 'MA', 328.4941421012845, 0]
('52', 'J', 'F', 328.4941421012845, 8)
('61', 'E', 'J', 328.4941421012845, 0.15000000000000002)
('28', 'D', 'E', 328.4941421012845, 0.1428571428571429)
['15', 'A', 'MA', 330.1089285714287, 0]
('61', 'J', 'A', 330.1089285714287, 3.5)
('28', 'E', 'J', 330.1089285714287, 0.15000000000000002)
['27', 'MA', 'A', 330.14229024943324, 0]
('61', 'A', 'D', 330.14229024943324, 0.16666666666666666)
['40', 'MA', 'G', 332.1303854875281, 0]
('61', 'D', 'E', 332.1303854875281, 0.1428571428571429)
['35', 'MA', 'A', 333.5512265512266, 0]
('41', 'A', 'D', 333.5512265512266, 0.16666666666666666)
['41', 'D', 'MA', 336.4244798636947, 0]
('61', 'E', 'D', 336.4244798636947, 0.1428571428571429)
['4', 'MA', 'B', 336.91345427059736, 0]
('61', 'D', 'E', 336.91345427059736, 0.1428571428571429)
['17', 'MA', 'G', 351.74985671018794, 0]
('61', 'E', 'D', 351.74985671018794, 0.1428571428571429)
['22', 'MA', 'F', 353.4941421012845, 0]
('61', 'D', 'E', 353.4941421012845, 0.1428571428571429)
['15', 'MA', 'A', 355.1089285714287, 0]
('81', 'A', 'D', 355.1089285714287, 0.16666666666666666)
['2', 'F', 'MA', 359.5804816876241, 0]
['47', 'H', 'MA', 360.01359830440236, 0]
('81', 'D', 'H', 360.01359830440236, 0.30000000000000004)
('61', 'E', 'D', 360.01359830440236, 0.1428571428571429)
['41', 'MA', 'D', 361.4244798636947, 0]
('61', 'D', 'E', 361.4244798636947, 0.2857142857142857)
['41', 'D', 'MA', 361.4244798636947, 0]
('61', 'E', 'D', 361.4244798636947, 0.1428571428571429)
('30', 'B', 'E', 382, 0.738095238095238)
('99', 'B', 'J', 382, 0.4583333333333333)
('20', 'B', 'D', 382, 0.5)
('1', 'B', 'I', 382, 0.5)
('60', 'B', 'E', 382, 0.16666666666666666)
['46', 'H', 'MA', 384.3469316377359, 0]
('30', 'E', 'H', 384.3469316377359, 0.5)
('1', 'I', 'B', 384.3469316377359, 1.0)
('20', 'D', 'I', 384.3469316377359, 0.25)
['2', 'MA', 'F', 384.5804816876241, 0]
('1', 'B', 'D', 384.5804816876241, 0.16666666666666666)
('20', 'I', 'B', 384.5804816876241, 1.0)
['47', 'MA', 'H', 385.01359830440236, 0]
('1', 'D', 'I', 385.01359830440236, 0.25)
('20', 'B', 'D', 385.01359830440236, 0.16666666666666666)
('30', 'H', 'B', 385.01359830440236, 1.0)
['41', 'MA', 'D', 386.4244798636947, 0]
('20', 'D', 'E', 386.4244798636947, 0.33333333333333337)
('1', 'I', 'A', 386.4244798636947, 1.0)
('30', 'B', 'I', 386.4244798636947, 0.25)
('61', 'D', 'B', 386.4244798636947, 1.0)
['41', 'D', 'MA', 386.4244798636947, 0]
('20', 'E', 'D', 386.4244798636947, 0.2857142857142857)
('1', 'A', 'D', 386.4244798636947, 0.16666666666666666)
('61', 'B', 'E', 386.4244798636947, 0.16666666666666666)
('30', 'I', 'B', 386.4244798636947, 1.0)
('35', 'A', 'I', 391, 2.0)
('53', 'A', 'C', 391, 7.0)
('15', 'A', 'J', 391, 0.75)
('49', 'A', 'H', 391, 1.25)
('58', 'A', 'J', 391, 0.4642857142857143)
('24', 'A', 'D', 391, 0.4)
('68', 'A', 'E', 391, 0.19999999999999996)
['61', 'E', 'MA', 401.93961617644135, 0]
('24', 'D', 'E', 401.93961617644135, 0.19999999999999996)
['46', 'MA', 'H', 409.3469316377359, 0]
('49', 'H', 'D', 409.3469316377359, 0.2666666666666666)
('24', 'E', 'A', 409.3469316377359, 0.19999999999999996)
['41', 'MA', 'D', 411.4244798636947, 0]
('49', 'D', 'E', 411.4244798636947, 0.4)
['41', 'D', 'MA', 411.4244798636948, 0]
('49', 'E', 'D', 411.4244798636948, 0.19999999999999996)
('24', 'A', 'E', 411.4244798636948, 0.19999999999999996)
['5', 'J', 'MA', 417.2851294490967, 0]
('49', 'D', 'J', 417.2851294490967, 0.1785714285714286)
('24', 'E', 'D', 417.2851294490967, 0.19999999999999996)
['61', 'MA', 'E', 426.93961617644135, 0]
('24', 'D', 'A', 426.93961617644135, 0.19999999999999996)
('68', 'E', 'D', 426.93961617644135, 0.19999999999999996)
('53', 'C', 'E', 428, 1.6)
('71', 'C', 'I', 428, 2.1666666666666665)
('89', 'C', 'J', 428, 0.9166666666666666)
('6', 'C', 'H', 428, 1.5)
('83', 'C', 'D', 428, 0.75)
('100', 'C', 'E', 428, 0.5)
('44', 'C', 'A', 428, 0.25)
['41', 'MA', 'D', 436.4244798636948, 0]
('83', 'D', 'C', 436.4244798636948, 0.5)
['5', 'MA', 'J', 442.2851294490967, 0]
['33', 'J', 'MA', 444.02319612402323, 0]
('83', 'C', 'E', 445, 0.75)
('44', 'A', 'E', 445, 0.5)
('68', 'D', 'A', 445, 0.25)
['33', 'MA', 'J', 469.02319612402323, 0]
('89', 'J', 'D', 469.02319612402323, 0.33333333333333326)
('68', 'A', 'C', 469.02319612402323, 0.25)
['64', 'F', 'MA', 472.02813475238435, 0]
('89', 'D', 'A', 472.02813475238435, 0.25)
('68', 'C', 'D', 472.02813475238435, 0.25)
['8', 'I', 'MA', 472.5069930377179, 0]
('89', 'A', 'I', 472.5069930377179, 0.5)
('68', 'D', 'A', 472.5069930377179, 0.25)
['20', 'D', 'EOL', 474.23812489769404, 0]
('68', 'A', 'D', 474.23812489769404, 0.4)
('49', 'J', 'E', 477, 0.9999999999999998)
('89', 'I', 'J', 477, 0.16666666666666669)
('6', 'H', 'I', 477, 0.33333333333333337)
['11', 'A', 'EOL', 479.1908538619332, 0]
('89', 'J', 'A', 479.1908538619332, 0.33333333333333326)
('6', 'I', 'J', 479.1908538619332, 0.16666666666666669)
['68', 'D', 'MA', 488.69460501761307, 0]
('6', 'J', 'D', 488.69460501761307, 0.33333333333333326)
('15', 'J', 'I', 492, 8)
('58', 'J', 'I', 492, 8)
('99', 'J', 'I', 492, 8)
('6', 'D', 'J', 492, 0.3055555555555556)
('89', 'A', 'J', 492, 0.25)
('88', 'C', 'J', 492, 0.1785714285714286)
['64', 'MA', 'F', 497.02813475238435, 0]
['8', 'MA', 'I', 497.5069930377179, 0]
['38', 'F', 'EOL', 498.97127739984876, 0]
['95', 'C', 'MA', 499.126372757074, 0]
('89', 'J', 'C', 499.126372757074, 0.33333333333333326)
['37', 'C', 'EOL', 504.9472060904072, 0]
('49', 'E', 'C', 504.9472060904072, 0.16666666666666669)
('30', 'B', 'E', 504.9472060904072, 0.3333333333333333)
('6', 'J', 'B', 504.9472060904072, 1.0)
('24', 'A', 'J', 504.9472060904072, 0.125)
('1', 'D', 'A', 504.9472060904072, 0.16666666666666663)
('81', 'H', 'D', 504.9472060904072, 0.16666666666666663)
['32', 'J', 'MA', 506.18323249132106, 0]
('1', 'A', 'J', 506.18323249132106, 0.125)
('30', 'E', 'A', 506.18323249132106, 0.16666666666666669)
('6', 'B', 'E', 506.18323249132106, 0.3333333333333333)
('49', 'C', 'B', 506.18323249132106, 1.0)
('81', 'D', 'C', 506.18323249132106, 0.16666666666666663)
['10', 'I', 'MA', 512.9774450546089, 0]
('6', 'E', 'D', 512.9774450546089, 0.16666666666666669)
('49', 'B', 'E', 512.9774450546089, 0.3333333333333333)
('1', 'J', 'B', 512.9774450546089, 1.0)
('30', 'A', 'J', 512.9774450546089, 0.125)
('81', 'C', 'A', 512.9774450546089, 0.16666666666666663)
['68', 'MA', 'D', 513.6946050176131, 0]
('6', 'D', 'C', 513.6946050176131, 0.33333333333333337)
('1', 'B', 'H', 513.6946050176131, 0.25)
('30', 'J', 'B', 513.6946050176131, 1.0)
('49', 'E', 'J', 513.6946050176131, 0.125)
('81', 'A', 'E', 513.6946050176131, 0.33333333333333326)
('68', 'D', 'A', 513.6946050176131, 0.16666666666666663)
['52', 'F', 'MA', 514.2848409556563, 0]
('49', 'J', 'F', 514.2848409556563, 8)
('81', 'E', 'D', 514.2848409556563, 0.16666666666666669)
('30', 'B', 'E', 514.2848409556563, 0.3333333333333333)
('1', 'H', 'B', 514.2848409556563, 1.0)
('6', 'C', 'J', 514.2848409556563, 0.125)
('68', 'A', 'C', 514.2848409556563, 0.16666666666666663)
['60', 'E', 'MA', 514.4510518866884, 0]
('1', 'B', 'E', 514.4510518866884, 0.3333333333333333)
('6', 'J', 'B', 514.4510518866884, 1.0)
('68', 'C', 'A', 514.4510518866884, 0.16666666666666663)
('81', 'D', 'C', 514.4510518866884, 0.16666666666666663)
['42', 'B', 'EOL', 516.8500631513624, 0]
('1', 'E', 'D', 516.8500631513624, 0.16666666666666669)
('68', 'A', 'B', 516.8500631513624, 1.0)
('81', 'C', 'E', 516.8500631513624, 0.33333333333333326)
['29', 'H', 'MA', 518.8733140853413, 0]
('1', 'D', 'H', 518.8733140853413, 0.5)
('81', 'E', 'D', 518.8733140853413, 0.16666666666666669)
('68', 'B', 'E', 518.8733140853413, 0.3333333333333333)
['27', 'A', 'EOL', 519.8644007240908, 0]
('81', 'D', 'A', 519.8644007240908, 0.2857142857142857)
('68', 'E', 'D', 519.8644007240908, 0.16666666666666669)
['89', 'C', 'MA', 523.5549540130984, 0]
('68', 'D', 'C', 523.5549540130984, 0.2857142857142857)
['95', 'MA', 'C', 524.126372757074, 0]
('68', 'C', 'D', 524.126372757074, 0.16666666666666663)
['32', 'MA', 'J', 531.1832324913211, 0]
('68', 'D', 'B', 531.1832324913211, 1.0)
('24', 'J', 'D', 531.1832324913211, 0.16666666666666652)
('68', 'B', 'E', 532, 3.0)
('6', 'B', 'A', 532, 1.3333333333333333)
('87', 'B', 'C', 532, 1.1666666666666667)
('94', 'B', 'J', 532, 0.75)
('45', 'B', 'H', 532, 1.25)
('23', 'B', 'J', 532, 0.4642857142857143)
('4', 'B', 'D', 532, 0.4)
('72', 'B', 'A', 532, 0.19999999999999996)
['10', 'MA', 'I', 537.9774450546089, 0]
('4', 'D', 'B', 537.9774450546089, 0.19999999999999996)
('6', 'A', 'D', 537.9774450546089, 0.19999999999999996)
['52', 'MA', 'F', 539.2848409556563, 0]
('4', 'B', 'A', 539.2848409556563, 0.19999999999999996)
('6', 'D', 'B', 539.2848409556563, 0.19999999999999996)
['60', 'MA', 'E', 539.4510518866884, 0]
('68', 'E', 'D', 539.4510518866884, 0.3)
('4', 'A', 'C', 539.4510518866884, 0.19999999999999996)
('6', 'B', 'A', 539.4510518866884, 0.19999999999999996)
['29', 'MA', 'H', 543.8733140853413, 0]
('45', 'H', 'B', 543.8733140853413, 0.2666666666666666)
['45', 'B', 'EOL', 544.2640296091964, 0]
('4', 'C', 'B', 544.2640296091964, 0.19999999999999996)
('6', 'A', 'C', 544.2640296091964, 0.19999999999999996)
('68', 'D', 'A', 544.2640296091964, 0.19999999999999996)
['43', 'G', 'EOL', 547.1925547996979, 0]
('4', 'B', 'D', 547.1925547996979, 0.19999999999999996)
('6', 'C', 'B', 547.1925547996979, 0.19999999999999996)
('68', 'A', 'C', 547.1925547996979, 0.19999999999999996)
['66', 'B', 'MA', 548.4529404185595, 0]
['86', 'B', 'MA', 548.4529404185595, 0]
('4', 'D', 'B', 548.4529404185595, 0.33333333333333337)
('68', 'C', 'D', 548.4529404185595, 0.19999999999999996)
['89', 'MA', 'C', 548.5549540130984, 0]
('68', 'D', 'B', 548.5549540130984, 0.19999999999999996)
('87', 'C', 'D', 548.5549540130984, 0.19999999999999996)
