id,time,priority,dmnd,short,prtdown,ttldown,prtgdown,ttlgdown
D,159.0631313131311,1,10,0,0.0,0.0,-11738.006966991336,-212732.60577071737
E,159.0631313131311,6,7,4,5.612605648319816,34.85877911770757,-2347.601393398267,-215080.20716411565
F,159.0631313131311,1,10,0,0.0,15.458333333333336,-2347.601393398267,-217427.80855751393
G,159.0631313131311,1,10,0,0.0,7.333333333333337,-2347.601393398267,-219775.4099509122
H,159.0631313131311,4,12,3,1.637009980759946,10.593855218855179,4695.202786796534,-215080.20716411568
I,159.0631313131311,4,12,2,1.637009980759946,15.260521885521854,9390.405573593069,-205689.8015905226
J,159.0631313131311,8,30,5,1.637009980759946,15.227982202982158,21128.412540584406,-184561.3890499382
A,160.58333333333334,1,10,0,0.0,0.5555555555555558,0.0,-184561.3890499382
B,160.58333333333334,0,12,1,0.0,0.0,792.7788299663652,-183768.61021997186
C,160.58333333333334,0,12,-5,0.0,0.0,-3171.1153198654606,-186939.72553983732
D,160.58333333333334,1,10,0,0.0,0.0,-3171.1153198654606,-190110.8408597028
E,160.58333333333334,6,7,4,0.8686868686869988,35.72746598639457,0.0,-190110.8408597028
F,160.58333333333334,1,10,0,0.0,15.458333333333336,0.0,-190110.8408597028
G,160.58333333333334,1,10,0,0.0,7.333333333333337,0.0,-190110.8408597028
H,160.58333333333334,4,12,2,0.2533670033670413,10.84722222222222,1585.5576599327303,-188525.28319977006
I,160.58333333333334,4,12,2,0.2533670033670413,15.513888888888895,3171.1153198654606,-185354.1678799046
J,160.58333333333334,8,30,6,0.3040404040404496,15.532022607022608,7927.788299663651,-177426.37958024093
A,163.47619047619057,1,10,0,0.0,0.5555555555555558,0.0,-177426.37958024093
B,163.47619047619057,0,12,-1,0.0,0.0,-558.5436507936496,-177984.92323103457
C,163.47619047619057,0,12,-5,0.0,0.0,-3351.2619047618973,-181336.18513579646
D,163.47619047619057,1,10,0,0.0,0.0,-3351.2619047618973,-184687.44704055836
E,163.47619047619057,6,7,4,1.6530612244898422,37.38052721088441,-1117.0873015872992,-185804.53434214566
F,163.47619047619057,1,10,0,0.0,15.458333333333336,-1117.0873015872992,-186921.62164373297
G,163.47619047619057,1,10,0,0.0,7.333333333333337,-1117.0873015872992,-188038.70894532028
H,163.47619047619057,4,12,2,0.4821428571428706,11.32936507936509,0.0,-188038.70894532028
I,163.47619047619057,4,12,3,0.723214285714306,16.2371031746032,1675.6309523809487,-186363.07799293933
J,163.47619047619057,8,30,6,0.5785714285714447,16.11059403559405,5026.892857142846,-181336.1851357965
A,163.80952380952382,1,10,0,0.0,0.5555555555555558,0.0,-181336.1851357965
B,163.80952380952382,0,12,-1,0.0,0.0,-85.80498866211667,-181421.99012445862
C,163.80952380952382,0,12,-4,0.0,0.0,-429.02494331058335,-181851.0150677692
D,163.80952380952382,1,10,0,0.0,0.0,-429.02494331058335,-182280.0400110798
E,163.80952380952382,6,7,4,0.19047619047614717,37.57100340136056,-85.80498866211667,-182365.84499974194
F,163.80952380952382,1,10,0,0.0,15.458333333333336,-85.80498866211667,-182451.64998840407
G,163.80952380952382,1,10,0,0.0,7.333333333333337,-85.80498866211667,-182537.4549770662
H,163.80952380952382,4,12,3,0.08333333333331439,11.412698412698404,171.60997732423334,-182365.84499974197
I,163.80952380952382,4,12,2,0.05555555555554291,16.29265873015874,343.2199546484667,-182022.6250450935
J,163.80952380952382,8,30,6,0.0666666666666515,16.177260702260703,858.0498866211667,-181164.57515847235
A,164,0,12,2,0.0,0.5555555555555558,62.47619047618559,-181102.09896799616
B,164,0,12,-1,0.0,0.0,31.238095238092797,-181070.86087275806
C,164,0,12,-4,0.0,0.0,-93.71428571427839,-181164.57515847235
D,164,1,10,0,0.0,0.0,-93.71428571427839,-181258.28944418664
E,164,6,7,4,0.10884353741495748,37.67984693877551,31.238095238092797,-181227.05134894853
F,164,1,10,0,0.0,15.458333333333336,31.238095238092797,-181195.81325371042
G,164,1,10,0,0.0,7.333333333333337,31.238095238092797,-181164.57515847232
H,164,4,12,2,0.03174603174602926,11.444444444444434,93.71428571427839,-181070.86087275803
I,164,4,12,3,0.0476190476190439,16.340277777777786,187.42857142855678,-180883.43230132948
J,164,8,30,6,0.03809523809523511,16.215355940355938,374.85714285711356,-180508.57515847238
A,167.91250000000002,0,12,0,0.0,0.5555555555555558,0.0,-180508.57515847238
B,167.91250000000002,0,12,-1,0.0,0.0,-4533.637500000001,-185042.2126584724
C,167.91250000000002,0,12,-4,0.0,0.0,-22668.187500000004,-207710.4001584724
D,167.91250000000002,1,10,1,0.0,0.0,-18134.550000000003,-225844.9501584724
E,167.91250000000002,6,7,5,2.7946428571428736,40.47448979591839,4533.637500000001,-221311.3126584724
F,167.91250000000002,1,10,0,0.0,15.458333333333336,4533.637500000001,-216777.67515847238
G,167.91250000000002,1,10,0,0.0,7.333333333333337,4533.637500000001,-212244.03765847237
H,167.91250000000002,4,12,3,0.9781250000000057,12.42256944444444,18134.550000000003,-194109.48765847238
I,167.91250000000002,4,12,3,0.9781250000000057,17.31840277777779,31735.46250000001,-162374.02515847236
J,167.91250000000002,8,30,6,0.7825000000000044,16.997855940355944,58937.287500000006,-103436.73765847235
A,168.17348484848492,0,12,0,0.0,0.5555555555555558,0.0,-103436.73765847235
B,168.17348484848492,0,12,-1,0.0,0.0,-3882.7053314393916,-107319.44298991174
C,168.17348484848492,0,12,-4,0.0,0.0,-19413.52665719696,-126732.9696471087
D,168.17348484848492,1,10,0,0.0,0.0,-19413.52665719696,-146146.49630430565
E,168.17348484848492,6,7,5,0.1864177489177824,40.66090754483617,0.0,-146146.49630430565
F,168.17348484848492,1,10,0,0.0,15.458333333333336,0.0,-146146.49630430565
G,168.17348484848492,1,10,0,0.0,7.333333333333337,0.0,-146146.49630430565
H,168.17348484848492,4,12,4,0.06524621212122383,12.487815656565664,15530.821325757566,-130615.67497854808
I,168.17348484848492,4,12,3,0.06524621212122383,17.383648989899015,27178.937320075744,-103436.73765847234
J,168.17348484848492,8,30,7,0.060896464646475565,17.05875240500242,54357.87464015149,-49078.86301832085
A,174.24107142857142,0,12,0,0.0,0.5555555555555558,0.0,-49078.86301832085
B,174.24107142857142,0,12,-1,0.0,0.0,-3977.316456980507,-53056.17947530136
C,174.24107142857142,0,12,-4,0.0,0.0,-19886.582284902535,-72942.7617602039
D,174.24107142857142,1,10,0,0.0,0.0,-19886.582284902535,-92829.34404510644
E,174.24107142857142,6,7,6,5.200788497216999,45.86169604205317,3977.316456980507,-88852.02758812593
F,174.24107142857142,1,10,-1,0.0,15.458333333333336,0.0,-88852.02758812593
G,174.24107142857142,1,10,0,0.0,7.333333333333337,0.0,-88852.02758812593
